File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\table\SUTableCellRenderer.java,82,57,39,11,14,0,11,52,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\table\SUTableColumn.java,38,21,16,1,7,0,10,40,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\table\SUTableColumnType.java,26,11,8,0,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\table\SUTableListener.java,16,4,3,0,3,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\table\SUTableModel.java,180,119,82,23,28,0,33,95,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\table\SUTableRow.java,102,75,52,20,14,0,13,44,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\SUAbstractTree.java,97,76,58,16,18,0,3,8,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\SUAbstractTreeCellRenderer.java,38,22,16,2,7,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\SUAbstractTreeNode.java,111,77,57,9,34,0,0,0,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\SUAbstractServerTreeNode.java,39,19,16,0,11,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\SUQueryTreeNode.java,67,46,29,5,12,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\SUServerTree.java,168,130,97,23,29,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\SUTableTreeNode.java,68,46,29,5,13,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUAbstractBundleTreeNode.java,33,17,12,1,7,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUBackupBundleTreeNode.java,95,69,48,9,16,0,10,19,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUConnectionBundleTreeNode.java,102,80,56,9,20,0,2,6,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUDatabaseBundleTreeNode.java,100,82,62,7,16,0,2,2,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUEventBundleTreeNode.java,85,69,48,9,16,0,0,0,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUFunctionBundleTreeNode.java,85,69,48,9,16,0,0,0,0,0
